time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
14.3,-2.178393856928593,0.1346796800486629,-0.4254685560018174,0.2907888079328131,2.178393858213846,1.570795767638006
14.4,-2.17919279952812,0.1352902069786523,-0.4254608548511669,0.2901705798144008,2.179192800813373,1.570795767571815
14.5,-2.179984187985224,0.135894648399784,-0.425453206958764,0.2895584904633495,2.179984189270476,1.570795767506177
14.6,-2.18076814594088,0.136493107817131,-0.4254456115289713,0.2889524355789774,2.180768147226133,1.570795767441083
14.7,-2.181544794163092,0.1370856862644132,-0.4254380678069651,0.2883523133727124,2.181544795448345,1.570795767376526
14.8,-2.182314250632861,0.1376724823789459,-0.4254305750753247,0.2877580244898184,2.182314251918114,1.570795767312497
14.9,-2.183076630627034,0.1382535924740012,-0.4254231326510762,0.2871694719340212,2.183076631912287,1.570795767248989
15,-2.183832046798166,0.1388291106084694,-0.4254157398827942,0.2865865609950902,2.183832048083419,1.570795767185993
15.1,-2.184580609251518,0.1393991286540768,-0.4254083961482138,0.2860091991789204,2.18458061053677,1.570795767123502
15.2,-2.185322425619301,0.1399637363602722,-0.4254011008517864,0.2854372961406,2.185322426904554,1.57079576706151
15.3,-2.186057601132303,0.1405230214166124,-0.4253938534225767,0.2848707636195797,2.186057602417556,1.570795767000008
15.4,-2.186786238688984,0.1410770695132157,-0.4253866533123301,0.2843095153775437,2.186786239974237,1.570795766938989
15.5,-2.187508438922156,0.1416259643988553,-0.4253794999937099,0.2837534671382684,2.187508440207409,1.570795766878448
15.6,-2.188224300263345,0.1421697879371209,-0.4253723929584794,0.2832025365300126,2.188224301548598,1.570795766818376
15.7,-2.188933919004925,0.142708620160704,-0.4253653317162502,0.282656643029668,2.188933920290178,1.570795766758768
15.8,-2.189637389360126,0.1432425393236656,-0.4253583157928915,0.2821157079090426,2.189637390645379,1.570795766699617
15.9,-2.190334803520976,0.1437716219519984,-0.4253513447293358,0.2815796541831332,2.190334804806229,1.570795766640916
16,-2.191026251714292,0.1442959428923984,-0.4253444180805559,0.2810484065601315,2.191026252999545,1.57079576658266
16.1,-2.191711822255771,0.1448155753595017,-0.4253375354143714,0.2805218913931924,2.191711823541024,1.570795766524841
16.2,-2.192391601602274,0.1453305909813878,-0.4253306963103682,0.2800000366339361,2.192391602887527,1.570795766467455
16.3,-2.193065674402363,0.1458410598435762,-0.4253239003593308,0.2794827717875421,2.193065675687616,1.570795766410495
16.4,-2.193734123545159,0.1463470505316309,-0.4253171471621613,0.2789700278693772,2.193734124830411,1.570795766353956
16.5,-2.194397030207595,0.1468486301722294,-0.425310436329255,0.2784617373631306,2.194397031492847,1.570795766297832
16.6,-2.195054473900126,0.1473458644730385,-0.4253037674798179,0.2779578341803415,2.195054475185378,1.570795766242117
16.7,-2.195706532510936,0.1478388177610555,-0.4252971402411845,0.2774582536213472,2.195706533796189,1.570795766186807
16.8,-2.196353282348728,0.1483275530198966,-0.4252905542483063,0.2769629323374829,2.196353283633981,1.570795766131895
16.9,-2.196994798184129,0.14881213192578,-0.4252840091432404,0.276471808294616,2.196994799469381,1.570795766077376
17,-2.197631153289771,0.149292614882313,-0.4252775045746375,0.27598482073779,2.197631154575024,1.570795766023246
17.1,-2.198262419479098,0.1497690610542008,-0.4252710401974014,0.2755019101571463,2.198262420764351,1.5707957659695
17.2,-2.198888667143942,0.1502415283999028,-0.4252646156721767,0.2750230182548705,2.198888668429195,1.570795765916132
17.3,-2.199509965290925,0.1507100737031806,-0.4252582306650083,0.2745480879133027,2.199509966576178,1.570795765863138
17.4,-2.200126381576713,0.1511747526037368,-0.4252518848471141,0.2740770631639293,2.200126382861966,1.570795765810512
17.5,-2.200737982342177,0.1516356196267168,-0.4252455778945432,0.2736098891575978,2.20073798362743,1.570795765758251
17.6,-2.2013448326455,0.1520927282114997,-0.4252393094877789,0.2731465121354404,2.201344833930753,1.57079576570635
17.7,-2.201946996294263,0.1525461307394664,-0.4252330793116244,0.2726868794009363,2.201946997579516,1.570795765654803
17.8,-2.202544535876555,0.1529958785608869,-0.4252268870549756,0.2722309392926547,2.202544537161808,1.570795765603608
17.9,-2.203137512791126,0.1534420220210677,-0.425220732410537,0.2717786411580221,2.203137514076379,1.570795765552759
18,-2.20372598727664,0.1538846104855907,-0.4252146150746512,0.2713299353277989,2.203725988561893,1.570795765502253
18.1,-2.20431001844004,0.1543236923648692,-0.4252085347472416,0.270884773091467,2.204310019725293,1.570795765452084
18.2,-2.204889664284075,0.1547593151379658,-0.4252024911315289,0.2704431066731559,2.204889665569327,1.57079576540225
18.3,-2.205464981733987,0.1551915253755567,-0.4251964839339166,0.2700048892085931,2.20546498301924,1.570795765352745
18.4,-2.206036026663437,0.1556203687623565,-0.4251905128638214,0.2695700747225658,2.20603602794869,1.570795765303567
18.5,-2.206602853919647,0.1560458901188042,-0.4251845776337291,0.2691386181070072,2.2066028552049,1.570795765254711
18.6,-2.207165517347813,0.1564681334220666,-0.4251786779587974,0.2687104750999936,2.207165518633066,1.570795765206173
18.7,-2.207724069814809,0.1568871418265587,-0.4251728135570829,0.2682856022651663,2.207724071100062,1.570795765157949
18.8,-2.2082785632322,0.1573029576836404,-0.4251669841492571,0.2678639569717518,2.208278564517453,1.570795765110037
